id_venta,fecha,año,mes,trimestre,producto,categoria,ciudad,pais,canal,cantidad,precio_unitario,descuento_pct,venta_total,costo_total,margen_bruto_pct,satisfaccion,devolucion,cliente_nuevo
VT00170,2025-12-28,2025,Dic,Q4,"Monitor 24""",Monitores,Montevideo,Uruguay,Distribuidores,9,845500,0.05,7609500,4806000,36.8,3.1,0,0
VT00171,2024-12-10,2024,Dic,Q4,Mouse Inalámbrico,Accesorios,Monterrey,México,Distribuidores,19,73100,0.14,1388900,969000,30.2,4.7,0,0
VT00172,2024-09-26,2024,Sep,Q3,SSD 1TB,Almacenamiento,Cali,Colombia,Distribuidores,13,436500,0.03,5674500,3510000,38.1,3.3,0,1
VT00173,2024-08-03,2024,Ago,Q3,Impresora Láser,Impresión,Montevideo,Uruguay,Distribuidores,6,833000,0.15,4998000,3528000,29.4,3.6,0,0
VT00174,2024-10-21,2024,Oct,Q4,Impresora Láser,Impresión,Lima,Perú,B2B,21,950600,0.03,19962600,12348000,38.1,3.1,0,0
VT00175,2024-03-27,2024,Mar,Q1,Teclado Mecánico,Accesorios,Buenos Aires,Argentina,Marketplace,4,284800,0.11,1139200,768000,32.6,3.2,0,1
VT00176,2025-09-07,2025,Sep,Q3,"Tablet 10""",Tablets,Barranquilla,Colombia,Distribuidores,17,948000,0.21,16116000,12240000,24.1,4.3,0,1
VT00177,2024-02-05,2024,Feb,Q1,Auriculares BT,Audio,Montevideo,Uruguay,Marketplace,38,212500,0.15,8075000,5700000,29.4,3.3,0,0
VT00178,2024-01-25,2024,Ene,Q1,"Tablet 10""",Tablets,Montevideo,Uruguay,Online,42,1188000,0.01,49896000,30240000,39.4,4.2,0,0
VT00179,2025-08-16,2025,Ago,Q3,Smartphone X,Smartphones,Montevideo,Uruguay,Online,20,1764000,0.16,35280000,25200000,28.6,3.5,0,0
VT00180,2025-03-07,2025,Mar,Q1,Cámara HD,Fotografía,Medellín,Colombia,Online,30,1350000,0.1,40500000,27000000,33.3,3.7,0,0
VT00181,2025-03-11,2025,Mar,Q1,"Tablet 10""",Tablets,Monterrey,México,B2B,7,1044000,0.13,7308000,5040000,31.0,3.5,0,0
VT00182,2025-05-08,2025,May,Q2,Teclado Mecánico,Accesorios,Medellín,Colombia,Online,27,249600,0.22,6739200,5184000,23.1,4.9,0,0
VT00183,2025-03-16,2025,Mar,Q1,USB-C Hub,Accesorios,Monterrey,México,Tienda Física,30,90000,0.25,2700000,2160000,20.0,4.8,0,1
VT00184,2024-04-02,2024,Abr,Q2,Smartphone X,Smartphones,Buenos Aires,Argentina,B2B,4,1785000,0.15,7140000,5040000,29.4,3.6,0,0
VT00185,2024-09-05,2024,Sep,Q3,SSD 1TB,Almacenamiento,Arequipa,Perú,Distribuidores,28,355500,0.21,9954000,7560000,24.1,4.8,0,0
VT00186,2024-01-03,2024,Ene,Q1,"Tablet 10""",Tablets,Bogotá,Colombia,B2B,19,1092000,0.09,20748000,13680000,34.1,3.8,0,0
VT00187,2024-03-18,2024,Mar,Q1,USB-C Hub,Accesorios,Montevideo,Uruguay,Online,22,108000,0.1,2376000,1584000,33.3,4.9,0,1
VT00188,2024-01-11,2024,Ene,Q1,Impresora Láser,Impresión,Lima,Perú,Marketplace,46,970200,0.01,44629200,27048000,39.4,4.6,0,1
VT00189,2025-10-24,2025,Oct,Q4,Impresora Láser,Impresión,Cali,Colombia,Distribuidores,40,940800,0.04,37632000,23520000,37.5,4.7,0,0
VT00190,2025-12-12,2025,Dic,Q4,Impresora Láser,Impresión,Buenos Aires,Argentina,B2B,2,862400,0.12,1724800,1176000,31.8,3.7,0,0
VT00191,2025-08-19,2025,Ago,Q3,Auriculares BT,Audio,Bogotá,Colombia,Marketplace,50,190000,0.24,9500000,7500000,21.1,4.2,0,0
VT00192,2024-07-02,2024,Jul,Q3,Teclado Mecánico,Accesorios,Buenos Aires,Argentina,Marketplace,16,252800,0.21,4044800,3072000,24.1,4.1,0,1
VT00193,2025-03-17,2025,Mar,Q1,Cámara HD,Fotografía,Monterrey,México,B2B,27,1245000,0.17,33615000,24300000,27.7,4.5,0,0
VT00194,2024-09-16,2024,Sep,Q3,RAM 16GB,Componentes,Bogotá,Colombia,Tienda Física,43,326800,0.14,14052400,9804000,30.2,4.1,0,1
VT00195,2025-06-08,2025,Jun,Q2,Impresora Láser,Impresión,Monterrey,México,Marketplace,13,833000,0.15,10829000,7644000,29.4,3.6,0,0
VT00196,2025-12-18,2025,Dic,Q4,Auriculares BT,Audio,México DF,México,Tienda Física,23,230000,0.08,5290000,3450000,34.8,4.9,0,1
VT00197,2025-07-26,2025,Jul,Q3,Mouse Inalámbrico,Accesorios,Montevideo,Uruguay,Marketplace,50,68000,0.2,3400000,2550000,25.0,3.3,1,0
VT00198,2025-11-07,2025,Nov,Q4,Mouse Inalámbrico,Accesorios,Monterrey,México,B2B,14,68850,0.19,963900,714000,25.9,4.7,0,0
VT00199,2024-10-17,2024,Oct,Q4,Auriculares BT,Audio,Cali,Colombia,Online,43,235000,0.06,10105000,6450000,36.2,3.5,0,1
VT00200,2024-11-06,2024,Nov,Q4,"Tablet 10""",Tablets,Arequipa,Perú,Online,36,1200000,0.0,43200000,25920000,40.0,3.8,0,0
